name,type,dsc,lat,lon,img
「牛がみえたら徐行」の看板,local,通行する但馬牛への注意を促す看板。<br>全国でも珍しいかも...。,35.42864611,134.5233082,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/busstop.JPG
スノーボードのベンチ,local,大日堂にあるスノーボードで作られたベンチ。<br>降雪地ならではの光景。,35.42593275,134.5209671,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/dainichido.JPG
小代物産館,sight,とれたて野菜や工芸品が販売されているほか、周辺地域の案内のパンフレットが置かれている。,35.468324,134.5481844,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/ojirobussan.JPG
眺望点１,local,鉢伏山を望む眺望の良い坂道。<br>歩くのも楽しい。<br>夜は星空も美しい。,35.42987841,134.514175,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/scape1.JPG
眺望点２,local,山間部の集落ならではの光景。<br>向こうの山に段々田んぼが広がっている。,35.4390127,134.5316992,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/scape4.JPG
三段滝,sight,周辺エリア（久須部渓谷）はジオサイトに登録されている。<br>約300万年前の火山活動によって形成された凝灰岩を流れる滝。<br>,35.44671426,134.516204,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/taki1.JPG
滝見亭,meal,渓流沿いにある食事処。<br>自然の豊かさを感じながら地元の食材を堪能できる。<br>夏でも涼しい。,35.44680167,134.517314,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/takimitei.JPG
うへ山の棚田,sight,"日本の棚田百選に認定された棚田。<br>地滑り地を利用した棚田ということでジオサイトにも認定されている。<br>地元住民の方々が、棚田を廃れさせまいと田んぼづくりに励み、美味しいお米を生産している。<br>美味しさと共にお米につまった物語を知りたいかたはこちらをクリック<a href='https://uheyamamai.com' target='_blank'>俺たちの武勇田</a>",35.44126426,134.5268621,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/tanada.JPG
雌牛出産を告げる鐘,local,大日堂の近くにある鐘。<br>昔は、雌牛が生まれた時にこの鐘をついて集落に伝えていた。<br>この地域は繁殖農家（母牛を飼育し、子牛を産ませる農家）が多く、一家に一頭雌牛がいて、家族の一員として大切に育てられていた。<br>そのため、雌牛が生まれた方が喜ばれた。,35.42586713,134.5210432,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/ushinokane.JPG
吉滝,sight,ジオサイトの一つ。<br>滝の裏側に入ることができ、異なる時間の流れを感じさせる空間である。<br>現在、滝に向かう道は迂回する遊歩道のみ。,35.4374127,134.5108641,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/taki2.JPG
新屋八反滝,sight,ジオサイトの一つで、約300万年前の火山活動で形成された安山岩を流れる。<br>現在、土砂崩れによって滝は見えなくなってしまっている。,35.4011174,134.5267016,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/hattanndaki2.JPG
そば処春来「てっぺん」,meal,手打ちの十割蕎麦は絶品。<br>そば茶プリンもおすすめ。<br>職人さんの蕎麦打ちをガラス越しにみることができておもしろい。,35.514960,134.5350234,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/teppen.JPG
夏はここで牛が見れます。,local,夏季にここを通ると、牛がのんびりと過ごす穏やかな光景をみることができる。<br>立派に整えられた角の形、真っ直ぐな背中のライン、直角で綺麗なお尻のラインが、牛の注目ポイント。,35.5041144,134.5101690,https://github.com/K-Dai48/Univ_Making/raw/main/Tourism/photo/ushi.JPG
